date,Firm,Sample,Turnout,Lead,name,value
2011-11-20,generalelection,NA,68.9,15.8,pp,44.6
2011-11-20,generalelection,NA,68.9,15.8,psoe,28.8
2011-11-20,generalelection,NA,68.9,15.8,ciu,4.2
2011-11-20,generalelection,NA,68.9,15.8,pnv,1.3
2011-11-20,generalelection,NA,68.9,15.8,bng,0.8
2011-11-20,generalelection,NA,68.9,15.8,cc,0.6
2011-11-20,generalelection,NA,68.9,15.8,erc,1.1
2011-11-20,generalelection,NA,68.9,15.8,upd,4.7
2011-11-20,generalelection,NA,68.9,15.8,ip,6.9
2011-11-20,generalelection,NA,68.9,15.8,am,1.4
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,pp,43.5
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,psoe,30
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,ciu,3.4
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,pnv,1.2
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,bng,0.8
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,cc,0.6
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,erc,1.1
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,upd,4.3
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,ip,6.7
2011-11-20,tnsdemoscopiartveforta,190000,NA,13.5,am,1.4
2011-11-20,ncreportlarazn,771,71.1,13.8,pp,45.5
2011-11-20,ncreportlarazn,771,71.1,13.8,psoe,31.7
2011-11-20,ncreportlarazn,771,71.1,13.8,ciu,3.3
2011-11-20,ncreportlarazn,771,71.1,13.8,pnv,1.2
2011-11-20,ncreportlarazn,771,71.1,13.8,bng,1
2011-11-20,ncreportlarazn,771,71.1,13.8,cc,0.8
2011-11-20,ncreportlarazn,771,71.1,13.8,erc,0.7
2011-11-20,ncreportlarazn,771,71.1,13.8,upd,2.4
2011-11-20,ncreportlarazn,771,71.1,13.8,ip,7.9
2011-11-20,ncreportlarazn,771,71.1,13.8,am,NA
2011-11-19,pp,NA,NA,NA,pp,NA
2011-11-19,pp,NA,NA,NA,psoe,NA
2011-11-19,pp,NA,NA,NA,ciu,NA
2011-11-19,pp,NA,NA,NA,pnv,NA
2011-11-19,pp,NA,NA,NA,bng,NA
2011-11-19,pp,NA,NA,NA,cc,NA
2011-11-19,pp,NA,NA,NA,erc,NA
2011-11-19,pp,NA,NA,NA,upd,NA
2011-11-19,pp,NA,NA,NA,ip,NA
2011-11-19,pp,NA,NA,NA,am,NA
2011-11-16,sigmadosthetimes,NA,NA,20.0,pp,48
2011-11-16,sigmadosthetimes,NA,NA,20.0,psoe,28
2011-11-16,sigmadosthetimes,NA,NA,20.0,ciu,3.1
2011-11-16,sigmadosthetimes,NA,NA,20.0,pnv,NA
2011-11-16,sigmadosthetimes,NA,NA,20.0,bng,NA
2011-11-16,sigmadosthetimes,NA,NA,20.0,cc,NA
2011-11-16,sigmadosthetimes,NA,NA,20.0,erc,NA
2011-11-16,sigmadosthetimes,NA,NA,20.0,upd,3.8
2011-11-16,sigmadosthetimes,NA,NA,20.0,ip,6.7
2011-11-16,sigmadosthetimes,NA,NA,20.0,am,NA
2011-11-13,infortcnica,NA,NA,NA,pp,NA
2011-11-13,infortcnica,NA,NA,NA,psoe,NA
2011-11-13,infortcnica,NA,NA,NA,ciu,NA
2011-11-13,infortcnica,NA,NA,NA,pnv,NA
2011-11-13,infortcnica,NA,NA,NA,bng,NA
2011-11-13,infortcnica,NA,NA,NA,cc,NA
2011-11-13,infortcnica,NA,NA,NA,erc,NA
2011-11-13,infortcnica,NA,NA,NA,upd,NA
2011-11-13,infortcnica,NA,NA,NA,ip,NA
2011-11-13,infortcnica,NA,NA,NA,am,NA
2011-11-12,gesopelperidico,2070,NA,16.0,pp,46.2
2011-11-12,gesopelperidico,2070,NA,16.0,psoe,30.2
2011-11-12,gesopelperidico,2070,NA,16.0,ciu,3.2
2011-11-12,gesopelperidico,2070,NA,16.0,pnv,1.1
2011-11-12,gesopelperidico,2070,NA,16.0,bng,NA
2011-11-12,gesopelperidico,2070,NA,16.0,cc,NA
2011-11-12,gesopelperidico,2070,NA,16.0,erc,1.1
2011-11-12,gesopelperidico,2070,NA,16.0,upd,4.4
2011-11-12,gesopelperidico,2070,NA,16.0,ip,6
2011-11-12,gesopelperidico,2070,NA,16.0,am,1.1
2011-11-11,tbulavlagaceta,1400,79,13.9,pp,45.2
2011-11-11,tbulavlagaceta,1400,79,13.9,psoe,31.3
2011-11-11,tbulavlagaceta,1400,79,13.9,ciu,3.2
2011-11-11,tbulavlagaceta,1400,79,13.9,pnv,1.4
2011-11-11,tbulavlagaceta,1400,79,13.9,bng,0.8
2011-11-11,tbulavlagaceta,1400,79,13.9,cc,0.6
2011-11-11,tbulavlagaceta,1400,79,13.9,erc,1.3
2011-11-11,tbulavlagaceta,1400,79,13.9,upd,3.2
2011-11-11,tbulavlagaceta,1400,79,13.9,ip,8.9
2011-11-11,tbulavlagaceta,1400,79,13.9,am,1.6
2011-11-11,ncreportlarazn,5750,NA,14.9,pp,45.9
2011-11-11,ncreportlarazn,5750,NA,14.9,psoe,31
2011-11-11,ncreportlarazn,5750,NA,14.9,ciu,3.3
2011-11-11,ncreportlarazn,5750,NA,14.9,pnv,1.3
2011-11-11,ncreportlarazn,5750,NA,14.9,bng,1
2011-11-11,ncreportlarazn,5750,NA,14.9,cc,0.8
2011-11-11,ncreportlarazn,5750,NA,14.9,erc,0.9
2011-11-11,ncreportlarazn,5750,NA,14.9,upd,2.8
2011-11-11,ncreportlarazn,5750,NA,14.9,ip,7.2
2011-11-11,ncreportlarazn,5750,NA,14.9,am,NA
2011-11-10,opinincadenaser,1000,NA,13.0,pp,45
2011-11-10,opinincadenaser,1000,NA,13.0,psoe,32
2011-11-10,opinincadenaser,1000,NA,13.0,ciu,3.5
