date,Firm,Sample,Turnout,name,value
2016-06-26,generalelection,NA,66.5,pp,33
2016-06-26,generalelection,NA,66.5,psoe,22.6
2016-06-26,generalelection,NA,66.5,upo,NA
2016-06-26,generalelection,NA,66.5,cs,13.1
2016-06-26,generalelection,NA,66.5,up,NA
2016-06-26,generalelection,NA,66.5,erc,2.7
2016-06-26,generalelection,NA,66.5,dil,2
2016-06-26,generalelection,NA,66.5,conv,1.2
2016-06-26,generalelection,NA,66.5,pnv,1.2
2016-06-26,generalelection,NA,66.5,pacma,0.8
2016-06-26,generalelection,NA,66.5,eh,0.3
2016-06-26,generalelection,NA,66.5,cc,21.2
2016-06-26,generalelection,NA,66.5,upo,10.4
2016-06-26,sigmadosrtveforta,132000,NA,pp,28.5
2016-06-26,sigmadosrtveforta,132000,NA,psoe,22
2016-06-26,sigmadosrtveforta,132000,NA,upo,NA
2016-06-26,sigmadosrtveforta,132000,NA,cs,11.8
2016-06-26,sigmadosrtveforta,132000,NA,up,NA
2016-06-26,sigmadosrtveforta,132000,NA,erc,3.1
2016-06-26,sigmadosrtveforta,132000,NA,dil,1.4
2016-06-26,sigmadosrtveforta,132000,NA,conv,1.3
2016-06-26,sigmadosrtveforta,132000,NA,pnv,NA
2016-06-26,sigmadosrtveforta,132000,NA,pacma,1
2016-06-26,sigmadosrtveforta,132000,NA,eh,0.3
2016-06-26,sigmadosrtveforta,132000,NA,cc,25.6
2016-06-26,sigmadosrtveforta,132000,NA,upo,2.9
2016-06-25,ncreport,NA,NA,pp,31.9
2016-06-25,ncreport,NA,NA,psoe,22
2016-06-25,ncreport,NA,NA,upo,NA
2016-06-25,ncreport,NA,NA,cs,13
2016-06-25,ncreport,NA,NA,up,NA
2016-06-25,ncreport,NA,NA,erc,2.4
2016-06-25,ncreport,NA,NA,dil,1.8
2016-06-25,ncreport,NA,NA,conv,1.1
2016-06-25,ncreport,NA,NA,pnv,NA
2016-06-25,ncreport,NA,NA,pacma,0.8
2016-06-25,ncreport,NA,NA,eh,0.3
2016-06-25,ncreport,NA,NA,cc,23.7
2016-06-25,ncreport,NA,NA,upo,8.2
2016-06-25,gesopelperidic,1000,68,pp,28.7
2016-06-25,gesopelperidic,1000,68,psoe,21.6
2016-06-25,gesopelperidic,1000,68,upo,NA
2016-06-25,gesopelperidic,1000,68,cs,14.5
2016-06-25,gesopelperidic,1000,68,up,NA
2016-06-25,gesopelperidic,1000,68,erc,NA
2016-06-25,gesopelperidic,1000,68,dil,NA
2016-06-25,gesopelperidic,1000,68,conv,NA
2016-06-25,gesopelperidic,1000,68,pnv,NA
2016-06-25,gesopelperidic,1000,68,pacma,NA
2016-06-25,gesopelperidic,1000,68,eh,NA
2016-06-25,gesopelperidic,1000,68,cc,23.9
2016-06-25,gesopelperidic,1000,68,upo,4.8
2016-06-24,gesopelperidic,900,70,pp,28.7
2016-06-24,gesopelperidic,900,70,psoe,21.6
2016-06-24,gesopelperidic,900,70,upo,NA
2016-06-24,gesopelperidic,900,70,cs,14.9
2016-06-24,gesopelperidic,900,70,up,NA
2016-06-24,gesopelperidic,900,70,erc,NA
2016-06-24,gesopelperidic,900,70,dil,NA
2016-06-24,gesopelperidic,900,70,conv,NA
2016-06-24,gesopelperidic,900,70,pnv,NA
2016-06-24,gesopelperidic,900,70,pacma,NA
2016-06-24,gesopelperidic,900,70,eh,NA
2016-06-24,gesopelperidic,900,70,cc,23.7
2016-06-24,gesopelperidic,900,70,upo,5
2016-06-24,gadabc,4000,NA,pp,30.4
2016-06-24,gadabc,4000,NA,psoe,21.8
2016-06-24,gadabc,4000,NA,upo,NA
2016-06-24,gadabc,4000,NA,cs,13.2
2016-06-24,gadabc,4000,NA,up,NA
2016-06-24,gadabc,4000,NA,erc,2.8
2016-06-24,gadabc,4000,NA,dil,1.6
2016-06-24,gadabc,4000,NA,conv,1.2
2016-06-24,gadabc,4000,NA,pnv,NA
2016-06-24,gadabc,4000,NA,pacma,0.9
2016-06-24,gadabc,4000,NA,eh,0.3
2016-06-24,gadabc,4000,NA,cc,24.8
2016-06-24,gadabc,4000,NA,upo,5.6
2016-06-23,ncreport,NA,NA,pp,31.7
2016-06-23,ncreport,NA,NA,psoe,21.6
2016-06-23,ncreport,NA,NA,upo,NA
2016-06-23,ncreport,NA,NA,cs,13.1
2016-06-23,ncreport,NA,NA,up,NA
2016-06-23,ncreport,NA,NA,erc,2.3
2016-06-23,ncreport,NA,NA,dil,1.7
2016-06-23,ncreport,NA,NA,conv,1.1
2016-06-23,ncreport,NA,NA,pnv,NA
2016-06-23,ncreport,NA,NA,pacma,0.7
2016-06-23,ncreport,NA,NA,eh,0.3
2016-06-23,ncreport,NA,NA,cc,24.5
2016-06-23,ncreport,NA,NA,upo,7.2
2016-06-23,gesopelperidic,900,69,pp,28
2016-06-23,gesopelperidic,900,69,psoe,21.8
2016-06-23,gesopelperidic,900,69,upo,NA
2016-06-23,gesopelperidic,900,69,cs,15.2
2016-06-23,gesopelperidic,900,69,up,NA
2016-06-23,gesopelperidic,900,69,erc,NA
2016-06-23,gesopelperidic,900,69,dil,NA
2016-06-23,gesopelperidic,900,69,conv,NA
2016-06-23,gesopelperidic,900,69,pnv,NA
2016-06-23,gesopelperidic,900,69,pacma,NA
2016-06-23,gesopelperidic,900,69,eh,NA
2016-06-23,gesopelperidic,900,69,cc,24
2016-06-23,gesopelperidic,900,69,upo,4
2016-06-22,gesopelperidic,900,69,pp,28.2
2016-06-22,gesopelperidic,900,69,psoe,21.7
2016-06-22,gesopelperidic,900,69,upo,NA
2016-06-22,gesopelperidic,900,69,cs,15.2
2016-06-22,gesopelperidic,900,69,up,NA
2016-06-22,gesopelperidic,900,69,erc,NA
2016-06-22,gesopelperidic,900,69,dil,NA
2016-06-22,gesopelperidic,900,69,conv,NA
2016-06-22,gesopelperidic,900,69,pnv,NA
2016-06-22,gesopelperidic,900,69,pacma,NA
2016-06-22,gesopelperidic,900,69,eh,NA
2016-06-22,gesopelperidic,900,69,cc,23.6
2016-06-22,gesopelperidic,900,69,upo,4.6
2016-06-21,ncreport,NA,NA,pp,31.3
2016-06-21,ncreport,NA,NA,psoe,21.4
2016-06-21,ncreport,NA,NA,upo,NA
2016-06-21,ncreport,NA,NA,cs,13.2
2016-06-21,ncreport,NA,NA,up,NA
2016-06-21,ncreport,NA,NA,erc,2.3
2016-06-21,ncreport,NA,NA,dil,1.7
2016-06-21,ncreport,NA,NA,conv,1.1
2016-06-21,ncreport,NA,NA,pnv,NA
2016-06-21,ncreport,NA,NA,pacma,0.7
2016-06-21,ncreport,NA,NA,eh,0.3
2016-06-21,ncreport,NA,NA,cc,25.1
2016-06-21,ncreport,NA,NA,upo,6.2
2016-06-21,gesopelperidic,900,68,pp,28.5
2016-06-21,gesopelperidic,900,68,psoe,21.5
2016-06-21,gesopelperidic,900,68,upo,NA
2016-06-21,gesopelperidic,900,68,cs,15.2
2016-06-21,gesopelperidic,900,68,up,NA
2016-06-21,gesopelperidic,900,68,erc,NA
2016-06-21,gesopelperidic,900,68,dil,NA
2016-06-21,gesopelperidic,900,68,conv,NA
2016-06-21,gesopelperidic,900,68,pnv,NA
2016-06-21,gesopelperidic,900,68,pacma,NA
2016-06-21,gesopelperidic,900,68,eh,NA
2016-06-21,gesopelperidic,900,68,cc,23.7
2016-06-21,gesopelperidic,900,68,upo,4.8
2016-06-20,gesopelperidic,900,69,pp,29
2016-06-20,gesopelperidic,900,69,psoe,21.5
2016-06-20,gesopelperidic,900,69,upo,NA
2016-06-20,gesopelperidic,900,69,cs,14.9
2016-06-20,gesopelperidic,900,69,up,NA
2016-06-20,gesopelperidic,900,69,erc,NA
2016-06-20,gesopelperidic,900,69,dil,NA
2016-06-20,gesopelperidic,900,69,conv,NA
2016-06-20,gesopelperidic,900,69,pnv,NA
2016-06-20,gesopelperidic,900,69,pacma,NA
2016-06-20,gesopelperidic,900,69,eh,NA
2016-06-20,gesopelperidic,900,69,cc,23.7
2016-06-20,gesopelperidic,900,69,upo,5.3
2016-06-20,gadabc,1900,NA,pp,30.7
2016-06-20,gadabc,1900,NA,psoe,21.2
2016-06-20,gadabc,1900,NA,upo,NA
2016-06-20,gadabc,1900,NA,cs,14.1
2016-06-20,gadabc,1900,NA,up,NA
2016-06-20,gadabc,1900,NA,erc,NA
2016-06-20,gadabc,1900,NA,dil,NA
2016-06-20,gadabc,1900,NA,conv,NA
2016-06-20,gadabc,1900,NA,pnv,NA
2016-06-20,gadabc,1900,NA,pacma,NA
2016-06-20,gadabc,1900,NA,eh,NA
2016-06-20,gadabc,1900,NA,cc,24.9
2016-06-20,gadabc,1900,NA,upo,5.8
2016-06-20,gipeyop,10244,NA,pp,29.5
2016-06-20,gipeyop,10244,NA,psoe,22
2016-06-20,gipeyop,10244,NA,upo,NA
2016-06-20,gipeyop,10244,NA,cs,14.5
2016-06-20,gipeyop,10244,NA,up,NA
2016-06-20,gipeyop,10244,NA,erc,2.7
2016-06-20,gipeyop,10244,NA,dil,2
2016-06-20,gipeyop,10244,NA,conv,1.1
2016-06-20,gipeyop,10244,NA,pnv,NA
2016-06-20,gipeyop,10244,NA,pacma,0.9
2016-06-20,gipeyop,10244,NA,eh,NA
2016-06-20,gipeyop,10244,NA,cc,24.5
2016-06-20,gipeyop,10244,NA,upo,5
2016-06-19,redondoasociadosexpansin,NA,NA,pp,29.4
2016-06-19,redondoasociadosexpansin,NA,NA,psoe,21.5
2016-06-19,redondoasociadosexpansin,NA,NA,upo,NA
2016-06-19,redondoasociadosexpansin,NA,NA,cs,15.1
2016-06-19,redondoasociadosexpansin,NA,NA,up,NA
2016-06-19,redondoasociadosexpansin,NA,NA,erc,NA
2016-06-19,redondoasociadosexpansin,NA,NA,dil,NA
2016-06-19,redondoasociadosexpansin,NA,NA,conv,NA
2016-06-19,redondoasociadosexpansin,NA,NA,pnv,NA
2016-06-19,redondoasociadosexpansin,NA,NA,pacma,NA
2016-06-19,redondoasociadosexpansin,NA,NA,eh,NA
2016-06-19,redondoasociadosexpansin,NA,NA,cc,24.9
2016-06-19,redondoasociadosexpansin,NA,NA,upo,4.5
2016-06-19,jmapblico,NA,69,pp,29.8
2016-06-19,jmapblico,NA,69,psoe,22.1
2016-06-19,jmapblico,NA,69,upo,NA
2016-06-19,jmapblico,NA,69,cs,13.9
2016-06-19,jmapblico,NA,69,up,NA
2016-06-19,jmapblico,NA,69,erc,2.4
2016-06-19,jmapblico,NA,69,dil,2.2
2016-06-19,jmapblico,NA,69,conv,1.3
2016-06-19,jmapblico,NA,69,pnv,NA
2016-06-19,jmapblico,NA,69,pacma,0.9
2016-06-19,jmapblico,NA,69,eh,0.3
2016-06-19,jmapblico,NA,69,cc,23.9
2016-06-19,jmapblico,NA,69,upo,5.9
2016-06-19,infortcnica,2071,NA,pp,NA
2016-06-19,infortcnica,2071,NA,psoe,NA
2016-06-19,infortcnica,2071,NA,upo,NA
2016-06-19,infortcnica,2071,NA,cs,NA
