date,Firm,Sample,Turnout,Lead,name,value
2019-04-28,aprilgeneralelection,NA,71.8,12.0,pp,16.7
2019-04-28,aprilgeneralelection,NA,71.8,12.0,psoe,28.7
2019-04-28,aprilgeneralelection,NA,71.8,12.0,pnv,1.5
2019-04-28,aprilgeneralelection,NA,71.8,12.0,cc,0.5
2019-04-28,aprilgeneralelection,NA,71.8,12.0,eh,1
2019-04-28,aprilgeneralelection,NA,71.8,12.0,ccom,0.7
2019-04-28,aprilgeneralelection,NA,71.8,12.0,cs,15.9
2019-04-28,aprilgeneralelection,NA,71.8,12.0,pacma,1.3
2019-04-28,aprilgeneralelection,NA,71.8,12.0,upo,NA
2019-04-28,aprilgeneralelection,NA,71.8,12.0,vox,10.3
2019-04-28,aprilgeneralelection,NA,71.8,12.0,upo,14.3
2019-04-28,aprilgeneralelection,NA,71.8,12.0,erc,3.9
2019-04-28,aprilgeneralelection,NA,71.8,12.0,na,0.4
2019-04-28,aprilgeneralelection,NA,71.8,12.0,jxcat,1.9
2019-04-28,aprilgeneralelection,NA,71.8,12.0,pdecat,NA
2019-04-28,electopanelelectomana,4300,NA,6.0,pp,19.3
2019-04-28,electopanelelectomana,4300,NA,6.0,psoe,25.3
2019-04-28,electopanelelectomana,4300,NA,6.0,pnv,1.3
2019-04-28,electopanelelectomana,4300,NA,6.0,cc,0.3
2019-04-28,electopanelelectomana,4300,NA,6.0,eh,0.8
2019-04-28,electopanelelectomana,4300,NA,6.0,ccom,1.2
2019-04-28,electopanelelectomana,4300,NA,6.0,cs,15
2019-04-28,electopanelelectomana,4300,NA,6.0,pacma,1.4
2019-04-28,electopanelelectomana,4300,NA,6.0,upo,NA
2019-04-28,electopanelelectomana,4300,NA,6.0,vox,13
2019-04-28,electopanelelectomana,4300,NA,6.0,upo,14.5
2019-04-28,electopanelelectomana,4300,NA,6.0,erc,3.3
2019-04-28,electopanelelectomana,4300,NA,6.0,na,0.3
2019-04-28,electopanelelectomana,4300,NA,6.0,jxcat,1.4
2019-04-28,electopanelelectomana,4300,NA,6.0,pdecat,NA
2019-04-27,sociomtricaelespaol,3600,NA,10.0,pp,17.9
2019-04-27,sociomtricaelespaol,3600,NA,10.0,psoe,27.9
2019-04-27,sociomtricaelespaol,3600,NA,10.0,pnv,1.2
2019-04-27,sociomtricaelespaol,3600,NA,10.0,cc,0.3
2019-04-27,sociomtricaelespaol,3600,NA,10.0,eh,0.9
2019-04-27,sociomtricaelespaol,3600,NA,10.0,ccom,0.5
2019-04-27,sociomtricaelespaol,3600,NA,10.0,cs,16
2019-04-27,sociomtricaelespaol,3600,NA,10.0,pacma,NA
2019-04-27,sociomtricaelespaol,3600,NA,10.0,upo,NA
2019-04-27,sociomtricaelespaol,3600,NA,10.0,vox,11
2019-04-27,sociomtricaelespaol,3600,NA,10.0,upo,16.5
2019-04-27,sociomtricaelespaol,3600,NA,10.0,erc,2.8
2019-04-27,sociomtricaelespaol,3600,NA,10.0,na,0.3
2019-04-27,sociomtricaelespaol,3600,NA,10.0,jxcat,1.6
2019-04-27,sociomtricaelespaol,3600,NA,10.0,pdecat,NA
2019-04-27,imopcope,4200,NA,8.5,pp,18.3
2019-04-27,imopcope,4200,NA,8.5,psoe,26.8
2019-04-27,imopcope,4200,NA,8.5,pnv,1.2
2019-04-27,imopcope,4200,NA,8.5,cc,0.3
2019-04-27,imopcope,4200,NA,8.5,eh,0.9
2019-04-27,imopcope,4200,NA,8.5,ccom,0.6
2019-04-27,imopcope,4200,NA,8.5,cs,14.2
2019-04-27,imopcope,4200,NA,8.5,pacma,NA
2019-04-27,imopcope,4200,NA,8.5,upo,NA
2019-04-27,imopcope,4200,NA,8.5,vox,12.7
2019-04-27,imopcope,4200,NA,8.5,upo,16.8
2019-04-27,imopcope,4200,NA,8.5,erc,3.1
2019-04-27,imopcope,4200,NA,8.5,na,0.2
2019-04-27,imopcope,4200,NA,8.5,jxcat,1.3
2019-04-27,imopcope,4200,NA,8.5,pdecat,NA
2019-04-27,gadrtveforta,12000,NA,10.3,pp,17.8
2019-04-27,gadrtveforta,12000,NA,10.3,psoe,28.1
2019-04-27,gadrtveforta,12000,NA,10.3,pnv,1.3
2019-04-27,gadrtveforta,12000,NA,10.3,cc,0.3
2019-04-27,gadrtveforta,12000,NA,10.3,eh,0.7
2019-04-27,gadrtveforta,12000,NA,10.3,ccom,0.5
2019-04-27,gadrtveforta,12000,NA,10.3,cs,14.4
2019-04-27,gadrtveforta,12000,NA,10.3,pacma,NA
2019-04-27,gadrtveforta,12000,NA,10.3,upo,NA
2019-04-27,gadrtveforta,12000,NA,10.3,vox,12.4
2019-04-27,gadrtveforta,12000,NA,10.3,upo,16.1
2019-04-27,gadrtveforta,12000,NA,10.3,erc,3.3
2019-04-27,gadrtveforta,12000,NA,10.3,na,0.5
2019-04-27,gadrtveforta,12000,NA,10.3,jxcat,1.6
2019-04-27,gadrtveforta,12000,NA,10.3,pdecat,NA
2019-04-26,elespaol,NA,NA,9.0,pp,18.5
2019-04-26,elespaol,NA,NA,9.0,psoe,27.5
2019-04-26,elespaol,NA,NA,9.0,pnv,NA
2019-04-26,elespaol,NA,NA,9.0,cc,NA
2019-04-26,elespaol,NA,NA,9.0,eh,NA
2019-04-26,elespaol,NA,NA,9.0,ccom,NA
2019-04-26,elespaol,NA,NA,9.0,cs,15.75
2019-04-26,elespaol,NA,NA,9.0,pacma,NA
2019-04-26,elespaol,NA,NA,9.0,upo,NA
2019-04-26,elespaol,NA,NA,9.0,vox,11.5
2019-04-26,elespaol,NA,NA,9.0,upo,16
2019-04-26,elespaol,NA,NA,9.0,erc,NA
2019-04-26,elespaol,NA,NA,9.0,na,NA
2019-04-26,elespaol,NA,NA,9.0,jxcat,NA
2019-04-26,elespaol,NA,NA,9.0,pdecat,NA
2019-04-26,podemos,NA,NA,15.0,pp,15
2019-04-26,podemos,NA,NA,15.0,psoe,30
2019-04-26,podemos,NA,NA,15.0,pnv,NA
2019-04-26,podemos,NA,NA,15.0,cc,NA
2019-04-26,podemos,NA,NA,15.0,eh,NA
2019-04-26,podemos,NA,NA,15.0,ccom,NA
2019-04-26,podemos,NA,NA,15.0,cs,15
2019-04-26,podemos,NA,NA,15.0,pacma,NA
2019-04-26,podemos,NA,NA,15.0,upo,NA
2019-04-26,podemos,NA,NA,15.0,vox,15
2019-04-26,podemos,NA,NA,15.0,upo,15
2019-04-26,podemos,NA,NA,15.0,erc,NA
