date,Firm,Sample,Turnout,Lead,name,value
2019-11-10,novembergeneralelection,NA,66.2,7.2,psoe,28
2019-11-10,novembergeneralelection,NA,66.2,7.2,pp,20.8
2019-11-10,novembergeneralelection,NA,66.2,7.2,cs,6.8
2019-11-10,novembergeneralelection,NA,66.2,7.2,upo,12.9
2019-11-10,novembergeneralelection,NA,66.2,7.2,vox,15.1
2019-11-10,novembergeneralelection,NA,66.2,7.2,erc,3.6
2019-11-10,novembergeneralelection,NA,66.2,7.2,jxcat,2.2
2019-11-10,novembergeneralelection,NA,66.2,7.2,pnv,1.6
2019-11-10,novembergeneralelection,NA,66.2,7.2,eh,1.1
2019-11-10,novembergeneralelection,NA,66.2,7.2,ccom,NA
2019-11-10,novembergeneralelection,NA,66.2,7.2,cc,0.5
2019-11-10,novembergeneralelection,NA,66.2,7.2,na,0.4
2019-11-10,novembergeneralelection,NA,66.2,7.2,prc,0.3
2019-11-10,novembergeneralelection,NA,66.2,7.2,mp,2.4
2019-11-10,novembergeneralelection,NA,66.2,7.2,cup,1
2019-11-10,ncreportlarazn,NA,NA,5.5,psoe,26.9
2019-11-10,ncreportlarazn,NA,NA,5.5,pp,21.4
2019-11-10,ncreportlarazn,NA,NA,5.5,cs,8.9
2019-11-10,ncreportlarazn,NA,NA,5.5,upo,12.5
2019-11-10,ncreportlarazn,NA,NA,5.5,vox,13.6
2019-11-10,ncreportlarazn,NA,NA,5.5,erc,3.8
2019-11-10,ncreportlarazn,NA,NA,5.5,jxcat,1.7
2019-11-10,ncreportlarazn,NA,NA,5.5,pnv,1.7
2019-11-10,ncreportlarazn,NA,NA,5.5,eh,1
2019-11-10,ncreportlarazn,NA,NA,5.5,ccom,NA
2019-11-10,ncreportlarazn,NA,NA,5.5,cc,0.7
2019-11-10,ncreportlarazn,NA,NA,5.5,na,0.5
2019-11-10,ncreportlarazn,NA,NA,5.5,prc,0.2
2019-11-10,ncreportlarazn,NA,NA,5.5,mp,3
2019-11-10,ncreportlarazn,NA,NA,5.5,cup,1
2019-11-10,sociomtricaelespaol,4000,NA,6.2,psoe,26.1
2019-11-10,sociomtricaelespaol,4000,NA,6.2,pp,19.9
2019-11-10,sociomtricaelespaol,4000,NA,6.2,cs,7.8
2019-11-10,sociomtricaelespaol,4000,NA,6.2,upo,14
2019-11-10,sociomtricaelespaol,4000,NA,6.2,vox,14.1
2019-11-10,sociomtricaelespaol,4000,NA,6.2,erc,3.5
2019-11-10,sociomtricaelespaol,4000,NA,6.2,jxcat,1.7
2019-11-10,sociomtricaelespaol,4000,NA,6.2,pnv,1.5
2019-11-10,sociomtricaelespaol,4000,NA,6.2,eh,1.1
2019-11-10,sociomtricaelespaol,4000,NA,6.2,ccom,NA
2019-11-10,sociomtricaelespaol,4000,NA,6.2,cc,0.4
2019-11-10,sociomtricaelespaol,4000,NA,6.2,na,0.3
2019-11-10,sociomtricaelespaol,4000,NA,6.2,prc,0.2
2019-11-10,sociomtricaelespaol,4000,NA,6.2,mp,3.4
2019-11-10,sociomtricaelespaol,4000,NA,6.2,cup,1.5
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,psoe,27.4
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,pp,20.8
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,cs,8.5
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,upo,12.9
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,vox,13.5
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,erc,3.6
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,jxcat,1.8
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,pnv,1.7
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,eh,1.1
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,ccom,NA
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,cc,0.8
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,na,0.4
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,prc,0.2
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,mp,2.8
2019-11-10,celesteteleldiarioes,1100,67.8,6.6,cup,1.1
2019-11-10,gadrtveforta,13000,72,7.2,psoe,27.3
2019-11-10,gadrtveforta,13000,72,7.2,pp,20.1
2019-11-10,gadrtveforta,13000,72,7.2,cs,8.5
